,loc,,,,,,,,,,,,,,,,,,,sp,no,,,spz,%FILARIA,IR_character,IR,,,allele,,,
COUNTRY,,LAT,LONG,TIME PERIOD OF STUDY,YEAR START,YEAR END,COLLECTION METHOD,METHOD OF SAMPLING COLLECTION,"SAMPLING METHOD_IR (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_PSC (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_ETC (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_HLC (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_ORC (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_LC (0- No, 1- Yes, 2- In combination, 9- Unknown)",STAGE OF COLLECTION,"COLLECTION STAGE (1- AC,2- LC,3- AC+LC, 4- LC+PC, 9-Unknown)",MORPHOLOGICAL IDENTIFICATION METHOD,MOLECULAR IDENTIFICATION METHOD,ID METHOD,,,S form,M form, ,,,,,KDR allele,,Comment,AUTHOR,REFERENCE
NIGERIA,Sokoto,13.05,5.21,1961 - 1962,1961,1962,PSC,PSC,0,1,0,0,0,0,AC,1,,,,An. funestus complex,209,,,0,,,,,,,,Dodge 1965,[63]
NIGERIA,Sokoto,13.05,5.21,1961 - 1962,1961,1962,PSC,PSC,0,1,0,0,0,0,AC,1,,,,An. gambiae s.l,2234,,,0.04,,,,,,,,Dodge 1965,[63]
NIGERIA,Lagos,6.45,3.4,1961 - 1962,1961,1962,"PSC, window traps",PSC + ETC,0,2,2,0,0,0,AC,1,,,,An. gambiae s.l,,,,,,,,,,,,Gratz et al 1963,[142]
NIGERIA,Kaduna,10.52,7.44,Jun - Nov 1962,1962,1962,"SC, Exit trap",PSC + ETC,0,2,2,0,0,0,AC,1,,,,An. nili,1254,,,,,,,,,,Huts sprayed with DDT and malathion,"Service, 1964",[143]
NIGERIA,Kangimi,10.73,7.6,June - Dec 1962,1962,1962,ETC,ETC,0,0,1,0,0,0,AC,1,,,,An. gambiae s.l,4135,,,,,,,,,,,Service 1964b,[80]
NIGERIA,Kangimi,10.73,7.6,June - Dec 1962,1962,1962,ETC,ETC,0,0,1,0,0,0,AC,1,,,,An. gambiae s.l,1756,,,,,,,,,,Huts sprayed with DDT/Malathion,Service 1964b,[80]
NIGERIA,Kangimi,10.73,7.6,June - Dec 1962,1962,1962,ETC,ETC,0,0,1,0,0,0,AC,1,,,,An. funestus complex,3541,,,,,,,,,,,Service 1964b,[80]
NIGERIA,Kangimi,10.73,7.6,June - Dec 1962,1962,1962,ETC,ETC,0,0,1,0,0,0,AC,1,,,,An. funestus complex,1186,,,,,,,,,,Huts sprayed with DDT/Malathion,Service 1964b,[80]
NIGERIA,Kangimi,10.73,7.6,"Aug, 1962",1962,1962,Human Bait,Human Bait,0,0,0,0,0,0,AC,1,,,,An. gambiae s.l,1,,,,,,,,,,,Service 1964d,[144]
NIGERIA,Kangimi,10.73,7.6,"Aug, 1962",1962,1962,IR,IR,1,0,0,0,0,0,AC,1,,,,An. gambiae s.l,1,,,,,,,,,,,Service 1964d,[144]
